Date,Open,High,Low,Close,Adj Close,Volume
2021-05-07,2555.25,2555.25,2555.25,2555.25,2555.25,0
2021-05-10,2549.0,2549.0,2549.0,2549.0,2549.0,0
2021-05-11,2542.75,2542.75,2542.75,2542.75,2542.75,0
2021-05-12,2513.75,2513.75,2513.75,2513.75,2513.75,0
2021-05-13,2474.5,2474.5,2474.5,2474.5,2474.5,0
2021-05-14,2475.75,2475.75,2475.75,2475.75,2475.75,0
2021-05-17,2525.75,2525.75,2525.75,2525.75,2525.75,0
2021-05-18,2499.75,2499.75,2499.75,2499.75,2499.75,0
2021-05-19,2434.75,2434.75,2434.75,2434.75,2434.75,0
2021-05-20,2424.5,2424.5,2424.5,2424.5,2424.5,0
2021-05-21,2388.5,2388.5,2388.5,2388.5,2388.5,0
2021-05-24,2406.5,2406.5,2406.5,2406.5,2406.5,0
2021-05-25,2393.5,2393.5,2393.5,2393.5,2393.5,0
2021-05-26,2424.5,2424.5,2424.5,2424.5,2424.5,0
2021-05-27,2501.25,2501.25,2501.25,2501.25,2501.25,0
2021-05-28,2519.5,2519.5,2519.5,2519.5,2519.5,0
2021-06-01,2493.0,2493.0,2493.0,2493.0,2493.0,0
2021-06-02,2465.25,2465.25,2465.25,2465.25,2465.25,0
2021-06-03,2427.75,2427.75,2427.75,2427.75,2427.75,0
2021-06-04,2478.25,2478.25,2478.25,2478.25,2478.25,0
2021-06-07,2452.75,2452.75,2452.75,2452.75,2452.75,0
2021-06-08,2470.75,2470.75,2470.75,2470.75,2470.75,0
2021-06-09,2475.25,2475.25,2475.25,2475.25,2475.25,0
2021-06-10,2500.75,2500.75,2500.75,2500.75,2500.75,0
2021-06-11,2488.75,2488.75,2488.75,2488.75,2488.75,0
2021-06-14,2518.0,2518.0,2518.0,2518.0,2518.0,0
2021-06-15,2479.75,2479.75,2479.75,2479.75,2479.75,0
2021-06-16,2488.25,2488.25,2488.25,2488.25,2488.25,0
2021-06-17,2420.0,2420.0,2420.0,2420.0,2420.0,0
2021-06-18,2401.75,2401.75,2401.75,2401.75,2401.75,0
2021-06-21,2420.5,2420.5,2420.5,2420.5,2420.5,0
2021-06-22,2439.25,2439.25,2439.25,2439.25,2439.25,0
